Tournament;Round;Day;Date;Time;Home;Home score;Away score;Away Score;Away;Attendance;Venue;Extra Time;Penalties;Notes
USA 94;Round of 16;Mon;04/07/1994;12:00 (17:00);Netherlands;2;2-0;0;Rep. of Ireland;61,355;Citrus Bowl (Neutral Site);;;
USA 94;Round of 16;Mon;04/07/1994;12:30 (20:30);Brazil;1;1-0;0;United States;84,147;Stanford Stadium (Neutral Site);;;
USA 94;Round of 16;Tue;05/07/1994;13:00 (18:00);Nigeria;1;1-2;2;Italy;54,367;Foxboro Stadium (Neutral Site);Yes;;Required Extra Time
USA 94;Round of 16;Tue;05/07/1994;16:30 (21:30);Mexico;1;1-1;1;Bulgaria;71,030;Giants Stadium (Neutral Site);Yes;Yes;Bulgaria won on penalty kicks following extra time
USA 94;Quarter-finals;Sat;09/07/1994;12:00 (17:00);Italy;2;2-1;1;Spain;53,400;Foxboro Stadium (Neutral Site);;;
USA 94;Quarter-finals;Sat;09/07/1994;14:30 (20:30);Netherlands;2;2-3;3;Brazil;63,500;Cotton Bowl (Neutral Site);;;
USA 94;Quarter-finals;Sun;10/07/1994;12:00 (17:00);Bulgaria;2;2-1;1;Germany;72,000;Giants Stadium (Neutral Site);;;
USA 94;Quarter-finals;Sun;10/07/1994;12:30 (20:30);Romania;2;2-2;2;Sweden;83,500;Stanford Stadium (Neutral Site);Yes;Yes;Sweden won on penalty kicks following extra time
USA 94;Semi-finals;Wed;13/07/1994;16:00 (21:00);Bulgaria;1;1-2;2;Italy;74,110;Giants Stadium (Neutral Site);;;
USA 94;Semi-finals;Wed;13/07/1994;16:30 (00:30);Sweden;0;0-1;1;Brazil;91,856;Rose Bowl (Neutral Site);;;
USA 94;Third-place match;Sat;16/07/1994;12:30 (20:30);Sweden;4;4-0;0;Bulgaria;91,500;Rose Bowl (Neutral Site);;;
USA 94;Final;Sun;17/07/1994;12:30 (20:30);Brazil;0;0-0;0;Italy;94,194;Rose Bowl (Neutral Site);Yes;Yes;Brazil won on penalty kicks following extra time
Italia 90;Group stage;Fri;08/06/1990;18:00 (17:00);Argentina;0;0-1;1;Cameroon;73,780;Giuseppe Meazza (Neutral Site);;;
Italia 90;Group stage;Sat;09/06/1990;17:00 (16:00);Union;0;0-2;2;Romania;42,907;Stadio San Nicola (Neutral Site);;;
Italia 90;Group stage;Sat;09/06/1990;17:00 (16:00);UAE;0;0-2;2;Colombia;30,791;Renato Dall Ara (Neutral Site);;;
Italia 90;Group stage;Sat;09/06/1990;21:00 (20:00);Italy;1;1-0;0;Austria;73,303;Stadio Olimpico (Neutral Site);;;
Italia 90;Group stage;Sun;10/06/1990;17:00 (16:00);United States;1;1-5;5;Czechoslovakia;33,266;Comunale (Neutral Site);;;
Italia 90;Group stage;Sun;10/06/1990;21:00 (20:00);Germany;4;4-1;1;Yugoslavia;74,765;Giuseppe Meazza (Neutral Site);;;
Italia 90;Group stage;Sun;10/06/1990;21:00 (20:00);Brazil;2;2-1;1;Sweden;62,628;Stadio delle Alpi (Neutral Site);;;
Italia 90;Group stage;Mon;11/06/1990;17:00 (16:00);Costa Rica;1;1-0;0;Scotland;30,867;Luigi Ferraris (Neutral Site);;;
Italia 90;Group stage;Mon;11/06/1990;21:00 (20:00);England;1;1-1;1;Rep. of Ireland;35,238;Sant Elia (Neutral Site);;;
Italia 90;Group stage;Tue;12/06/1990;17:00 (16:00);Belgium;2;2-0;0;Korea Republic;32,790;Marc Antonio Bentegodi (Neutral Site);;;
Italia 90;Group stage;Tue;12/06/1990;21:00 (20:00);Netherlands;1;1-1;1;Egypt;33,288;Della Favorita (Neutral Site);;;
Italia 90;Group stage;Wed;13/06/1990;17:00 (16:00);Uruguay;0;0-0;0;Spain;35,713;Dacia Arena (Neutral Site);;;
Italia 90;Group stage;Wed;13/06/1990;21:00 (20:00);Argentina;2;2-0;0;Soviet Union;55,759;San Paolo (Neutral Site);;;
Italia 90;Group stage;Thu;14/06/1990;17:00 (16:00);Yugoslavia;1;1-0;0;Colombia;32,257;Renato Dall Ara (Neutral Site);;;
Italia 90;Group stage;Thu;14/06/1990;17:00 (16:00);Cameroon;2;2-1;1;Romania;38,687;Stadio San Nicola (Neutral Site);;;
Italia 90;Group stage;Thu;14/06/1990;21:00 (20:00);Italy;1;1-0;0;United States;73,423;Stadio Olimpico (Neutral Site);;;
Italia 90;Group stage;Fri;15/06/1990;17:00 (16:00);Austria;0;0-1;1;Czechoslovakia;38,962;Comunale (Neutral Site);;;
Italia 90;Group stage;Fri;15/06/1990;21:00 (20:00);Germany;5;5-1;1;UAE;71,169;Giuseppe Meazza (Neutral Site);;;
Italia 90;Group stage;Sat;16/06/1990;17:00 (16:00);Brazil;1;1-0;0;Costa Rica;58,007;Stadio delle Alpi (Neutral Site);;;
Italia 90;Group stage;Sat;16/06/1990;21:00 (20:00);England;0;0-0;0;Netherlands;35,267;Sant Elia (Neutral Site);;;
Italia 90;Group stage;Sat;16/06/1990;21:00 (20:00);Sweden;1;1-2;2;Scotland;31,823;Luigi Ferraris (Neutral Site);;;
Italia 90;Group stage;Sun;17/06/1990;17:00 (16:00);Ireland;0;0-0;0;Egypt;33,288;Della Favorita (Neutral Site);;;
Italia 90;Group stage;Sun;17/06/1990;21:00 (20:00);Belgium;3;3-1;1;Uruguay;33,759;Marc Antonio Bentegodi (Neutral Site);;;
Italia 90;Group stage;Sun;17/06/1990;21:00 (20:00);Republic;1;1-3;3;Spain;32,733;Dacia Arena (Neutral Site);;;
Italia 90;Group stage;Mon;18/06/1990;21:00 (20:00);Argentina;1;1-1;1;Romania;52,733;San Paolo (Neutral Site);;;
Italia 90;Group stage;Mon;18/06/1990;21:00 (20:00);Cameroon;0;0-4;4;Soviet Union;37,307;Stadio San Nicola (Neutral Site);;;
Italia 90;Group stage;Tue;19/06/1990;17:00 (16:00);Yugoslavia;4;4-1;1;UAE;27,833;Renato Dall Ara (Neutral Site);;;
Italia 90;Group stage;Tue;19/06/1990;17:00 (16:00);Germany;1;1-1;1;Colombia;72,510;Giuseppe Meazza (Neutral Site);;;
Italia 90;Group stage;Tue;19/06/1990;21:00 (20:00);Italy;2;2-0;0;Czechoslovakia;73,303;Stadio Olimpico (Neutral Site);;;
Italia 90;Group stage;Tue;19/06/1990;21:00 (20:00);Austria;2;2-1;1;United States;34,857;Comunale (Neutral Site);;;
Italia 90;Group stage;Wed;20/06/1990;21:00 (20:00);Brazil;1;1-0;0;Scotland;62,502;Stadio delle Alpi (Neutral Site);;;
Italia 90;Group stage;Wed;20/06/1990;21:00 (20:00);Sweden;1;1-2;2;Costa Rica;30,223;Luigi Ferraris (Neutral Site);;;
Italia 90;Group stage;Thu;21/06/1990;17:00 (16:00);Belgium;1;1-2;2;Spain;35,950;Marc Antonio Bentegodi (Neutral Site);;;
Italia 90;Group stage;Thu;21/06/1990;17:00 (16:00);Republic;0;0-1;1;Uruguay;29,039;Friuli (Neutral Site);;;
Italia 90;Group stage;Thu;21/06/1990;21:00 (20:00);Ireland;1;1-1;1;Netherlands;33,288;Della Favorita (Neutral Site);;;
Italia 90;Group stage;Thu;21/06/1990;21:00 (20:00);England;1;1-0;0;Egypt;34,959;Sant Elia (Neutral Site);;;
Italia 90;Round of 16;Sat;23/06/1990;17:00 (16:00);Cameroon;2;2-1;1;Colombia;50,026;San Paolo (Neutral Site);Yes;;Required Extra Time
Italia 90;Round of 16;Sat;23/06/1990;21:00 (20:00);Czechoslovakia;4;4-1;1;Costa Rica;47,673;Stadio San Nicola (Neutral Site);;;
Italia 90;Round of 16;Sun;24/06/1990;17:00 (16:00);Brazil;0;0-1;1;Argentina;61,381;Stadio delle Alpi (Neutral Site);;;
Italia 90;Round of 16;Sun;24/06/1990;21:00 (20:00);Germany;2;2-1;1;Netherlands;74,559;Giuseppe Meazza (Neutral Site);;;
Italia 90;Round of 16;Mon;25/06/1990;17:00 (16:00);Ireland;0;0-0;0;Romania;31,818;Luigi Ferraris (Neutral Site);Yes;Yes;Rep. of Ireland won on penalty kicks following extra time
Italia 90;Round of 16;Mon;25/06/1990;21:00 (20:00);Italy;2;2-0;0;Uruguay;73,303;Stadio Olimpico (Neutral Site);;;
Italia 90;Round of 16;Tue;26/06/1990;17:00 (16:00);Spain;1;1-2;2;Yugoslavia;35,500;Marc Antonio Bentegodi (Neutral Site);Yes;;Required Extra Time
Italia 90;Round of 16;Tue;26/06/1990;21:00 (20:00);England;1;1-0;0;Belgium;34,520;Renato Dall Ara (Neutral Site);Yes;;Required Extra Time
Italia 90;Quarter-finals;Sat;30/06/1990;17:00 (16:00);Yugoslavia;0;0-0;0;Argentina;38,971;Comunale (Neutral Site);Yes;Yes;Argentina won on penalty kicks following extra time
Italia 90;Quarter-finals;Sat;30/06/1990;21:00 (20:00);Italy;1;1-0;0;Rep. of Ireland;73,303;Stadio Olimpico (Neutral Site);;;
Italia 90;Quarter-finals;Sun;01/07/1990;17:00 (16:00);Germany;1;1-0;0;Czechoslovakia;73,347;Giuseppe Meazza (Neutral Site);;;
Italia 90;Quarter-finals;Sun;01/07/1990;21:00 (20:00);England;3;3-2;2;Cameroon;55,205;San Paolo (Neutral Site);Yes;;Required Extra Time
Italia 90;Semi-finals;Tue;03/07/1990;20:00 (19:00);Italy;1;1-1;1;Argentina;59,978;San Paolo (Neutral Site);Yes;Yes;Argentina won on penalty kicks following extra time
Italia 90;Semi-finals;Wed;04/07/1990;20:00 (19:00);Germany;1;1-1;1;England;62,628;Stadio delle Alpi (Neutral Site);Yes;Yes;West Germany won on penalty kicks following extra time
Italia 90;Third-place match;Sat;07/07/1990;20:00 (19:00);Italy;2;2-1;1;England;51,426;Stadio San Nicola (Neutral Site);;;
Italia 90;Final;Sun;08/07/1990;20:00 (19:00);Germany;1;1-0;0;Argentina;73,603;Stadio Olimpico (Neutral Site);;;
Mexico 86;Group stage;Sat;31/05/1986;12:00 (19:00);Bulgaria;1;1-1;1;Italy;96,000;Estadio Azteca (Neutral Site);;;
Mexico 86;Group stage;Sun;01/06/1986;12:00 (19:00);Spain;0;0-1;1;Brazil;35,748;Jalisco (Neutral Site);;;
Mexico 86;Group stage;Sun;01/06/1986;16:00 (23:00);Canada;0;0-1;1;France;65,500;Nou Camp - Estadio Leï¿½n (Neutral Site);;;
Mexico 86;Group stage;Mon;02/06/1986;12:00 (19:00);Argentina;3;3-1;1;Korea Republic;60,000;Estadio Olï¿½mpico Universitario (Neutral Site);;;
Mexico 86;Group stage;Mon;02/06/1986;12:00 (19:00);Union;6;6-0;0;Hungary;16,500;Estadio Irapuato (Neutral Site);;;
Mexico 86;Group stage;Mon;02/06/1986;16:00 (23:00);Morocco;0;0-0;0;Poland;19,900;Estadio Universitario (Neutral Site);;;
Mexico 86;Group stage;Tue;03/06/1986;12:00 (19:00);Belgium;1;1-2;2;Mexico;110,000;Estadio Azteca (Neutral Site);;;
Mexico 86;Group stage;Tue;03/06/1986;12:00 (19:00);Algeria;1;1-1;1;Northern Ireland;22,000;Tres de Marzo (Neutral Site);;;
Mexico 86;Group stage;Tue;03/06/1986;16:00 (23:00);Portugal;1;1-0;0;England;23,000;Tecnologico (Neutral Site);;;
Mexico 86;Group stage;Wed;04/06/1986;12:00 (19:00);Paraguay;1;1-0;0;Iraq;24,000;Bombonera - Estadio Nemesio Diez (Neutral Site);;;
Mexico 86;Group stage;Wed;04/06/1986;12:00 (19:00);Uruguay;1;1-1;1;West Germany;30,500;Estadio Corregidora (Neutral Site);;;
Mexico 86;Group stage;Wed;04/06/1986;16:00 (23:00);Scotland;0;0-1;1;Denmark;18,000;Neza (Neutral Site);;;
Mexico 86;Group stage;Thu;05/06/1986;12:00 (19:00);France;1;1-1;1;Soviet Union;36,540;Nou Camp - Estadio Leï¿½n (Neutral Site);;;
Mexico 86;Group stage;Thu;05/06/1986;12:00 (19:00);Italy;1;1-1;1;Argentina;32,000;Cuauhtemoc (Neutral Site);;;
Mexico 86;Group stage;Thu;05/06/1986;16:00 (23:00);Republic;1;1-1;1;Bulgaria;45,000;Estadio Olï¿½mpico Universitario (Neutral Site);;;
Mexico 86;Group stage;Fri;06/06/1986;12:00 (19:00);Brazil;1;1-0;0;Algeria;48,000;Jalisco (Neutral Site);;;
Mexico 86;Group stage;Fri;06/06/1986;12:00 (19:00);Hungary;2;2-0;0;Canada;13,800;Estadio Irapuato (Neutral Site);;;
Mexico 86;Group stage;Fri;06/06/1986;16:00 (23:00);England;0;0-0;0;Morocco;20,200;Tecnologico (Neutral Site);;;
Mexico 86;Group stage;Sat;07/06/1986;12:00 (19:00);Mexico;1;1-1;1;Paraguay;114,600;Estadio Azteca (Neutral Site);;;
Mexico 86;Group stage;Sat;07/06/1986;12:00 (19:00);Ireland;1;1-2;2;Spain;28,000;Tres de Marzo (Neutral Site);;;
Mexico 86;Group stage;Sat;07/06/1986;16:00 (23:00);Poland;1;1-0;0;Portugal;19,915;Estadio Universitario (Neutral Site);;;
Mexico 86;Group stage;Sun;08/06/1986;12:00 (19:00);Iraq;1;1-2;2;Belgium;20,000;Bombonera - Estadio Nemesio Diez (Neutral Site);;;
Mexico 86;Group stage;Sun;08/06/1986;12:00 (19:00);Germany;2;2-1;1;Scotland;30,000;Estadio Corregidora (Neutral Site);;;
Mexico 86;Group stage;Sun;08/06/1986;16:00 (23:00);Denmark;6;6-1;1;Uruguay;26,500;Neza (Neutral Site);;;
Mexico 86;Group stage;Mon;09/06/1986;12:00 (19:00);Union;2;2-0;0;Canada;14,200;Estadio Irapuato (Neutral Site);;;
Mexico 86;Group stage;Mon;09/06/1986;12:00 (19:00);Hungary;0;0-3;3;France;31,420;Nou Camp - Estadio Leï¿½n (Neutral Site);;;
Mexico 86;Group stage;Tue;10/06/1986;12:00 (19:00);Republic;2;2-3;3;Italy;20,000;Cuauhtemoc (Neutral Site);;;
Mexico 86;Group stage;Tue;10/06/1986;12:00 (19:00);Argentina;2;2-0;0;Bulgaria;65,000;Estadio Olï¿½mpico Universitario (Neutral Site);;;
Mexico 86;Group stage;Wed;11/06/1986;12:00 (19:00);Paraguay;2;2-2;2;Belgium;16,000;Bombonera - Estadio Nemesio Diez (Neutral Site);;;
Mexico 86;Group stage;Wed;11/06/1986;12:00 (19:00);Iraq;0;0-1;1;Mexico;103,763;Estadio Azteca (Neutral Site);;;
Mexico 86;Group stage;Wed;11/06/1986;16:00 (23:00);England;3;3-0;0;Poland;22,700;Tecnologico (Neutral Site);;;
Mexico 86;Group stage;Wed;11/06/1986;16:00 (23:00);Portugal;1;1-3;3;Morocco;28,000;Tres de Marzo (Neutral Site);;;
Mexico 86;Group stage;Thu;12/06/1986;12:00 (19:00);Algeria;0;0-3;3;Spain;23,980;Tecnologico (Neutral Site);;;
Mexico 86;Group stage;Thu;12/06/1986;12:00 (19:00);Ireland;0;0-3;3;Brazil;51,000;Jalisco (Neutral Site);;;
Mexico 86;Group stage;Fri;13/06/1986;12:00 (19:00);Denmark;2;2-0;0;West Germany;36,000;Estadio Corregidora (Neutral Site);;;
Mexico 86;Group stage;Fri;13/06/1986;12:00 (19:00);Scotland;0;0-0;0;Uruguay;20,000;Neza (Neutral Site);;;
Mexico 86;Round of 16;Sun;15/06/1986;12:00 (19:00);Mexico;2;2-0;0;Bulgaria;114,580;Estadio Azteca (Neutral Site);;;
Mexico 86;Round of 16;Sun;15/06/1986;16:00 (23:00);Union;3;3-4;4;Belgium;32,277;Nou Camp - Estadio Leï¿½n (Neutral Site);Yes;;Required Extra Time
Mexico 86;Round of 16;Mon;16/06/1986;12:00 (19:00);Brazil;4;4-0;0;Poland;45,000;Jalisco (Neutral Site);;;
Mexico 86;Round of 16;Mon;16/06/1986;16:00 (23:00);Argentina;1;1-0;0;Uruguay;26,000;Cuauhtemoc (Neutral Site);;;
Mexico 86;Round of 16;Tue;17/06/1986;12:00 (19:00);Italy;0;0-2;2;France;70,000;Estadio Olï¿½mpico Universitario (Neutral Site);;;
Mexico 86;Round of 16;Tue;17/06/1986;16:00 (23:00);Morocco;0;0-1;1;West Germany;19,800;Estadio Universitario (Neutral Site);;;
Mexico 86;Round of 16;Wed;18/06/1986;12:00 (19:00);England;3;3-0;0;Paraguay;98,728;Estadio Azteca (Neutral Site);;;
Mexico 86;Round of 16;Wed;18/06/1986;16:00 (23:00);Denmark;1;1-5;5;Spain;38,500;Estadio Corregidora (Neutral Site);;;
Mexico 86;Quarter-finals;Sat;21/06/1986;12:00 (19:00);Brazil;1;1-1;1;France;65,000;Jalisco (Neutral Site);Yes;Yes;France won on penalty kicks following extra time
Mexico 86;Quarter-finals;Sat;21/06/1986;16:00 (23:00);Germany;0;0-0;0;Mexico;41,700;Estadio Universitario (Neutral Site);Yes;Yes;West Germany won on penalty kicks following extra time
Mexico 86;Quarter-finals;Sun;22/06/1986;12:00 (19:00);Argentina;2;2-1;1;England;114,580;Estadio Azteca (Neutral Site);;;
Mexico 86;Quarter-finals;Sun;22/06/1986;16:00 (23:00);Spain;1;1-1;1;Belgium;45,000;Cuauhtemoc (Neutral Site);Yes;Yes;Belgium won on penalty kicks following extra time
Mexico 86;Semi-finals;Wed;25/06/1986;12:00 (19:00);France;0;0-2;2;West Germany;45,000;Jalisco (Neutral Site);;;
Mexico 86;Semi-finals;Wed;25/06/1986;16:00 (23:00);Argentina;2;2-0;0;Belgium;114,500;Estadio Azteca (Neutral Site);;;
Mexico 86;Third-place match;Sat;28/06/1986;12:00 (19:00);France;4;4-2;2;Belgium;21,000;Cuauhtemoc (Neutral Site);;;Required Extra Time
Mexico 86;Final;Sun;29/06/1986;12:00 (19:00);Argentina;3;3-2;2;West Germany;114,600;Estadio Azteca (Neutral Site);Yes;;
Spain 82;First group stage;Sun;13/06/1982;20:00 (19:00);Argentina;0;0-1;1;Belgium;95,000;Camp Nou (Neutral Site);;;
Spain 82;First group stage;Mon;14/06/1982;17:15 (16:15);Italy;0;0-0;0;Poland;33,000;Estadio Municipal de Balaï¿½dos (Neutral Site);;;
Spain 82;First group stage;Mon;14/06/1982;21:00 (20:00);Brazil;2;2-1;1;Soviet Union;68,000;Ramon Sanchez Pizjuan (Neutral Site);;;
Spain 82;First group stage;Tue;15/06/1982;17:15 (16:15);Peru;0;0-0;0;Cameroon;11,000;Riazor (Neutral Site);;;
Spain 82;First group stage;Tue;15/06/1982;21:00 (20:00);Scotland;5;5-2;2;New Zealand;36,000;La Rosaleda (Neutral Site);;;
Spain 82;First group stage;Tue;15/06/1982;21:00 (20:00);Hungary;10;10-1�;1�;El Salvador;23,000;Nuevo Estadio (Neutral Site);;;
Spain 82;First group stage;Wed;16/06/1982;17:15 (16:15);England;3;3-1;1;France;44,172;San Mames (Neutral Site);;;
Spain 82;First group stage;Wed;16/06/1982;17:15 (16:15);Germany;1;1-2;2;Algeria;42,000;El Molinon (Neutral Site);;;
Spain 82;First group stage;Wed;16/06/1982;21:00 (20:00);Spain;1;1-1;1;Honduras;49,562;Luis Casanova (Neutral Site);;;
Spain 82;First group stage;Thu;17/06/1982;17:15 (16:15);Chile;0;0-1;1;Austria;22,500;Carlos Tartiere (Neutral Site);;;
Spain 82;First group stage;Thu;17/06/1982;17:45 (16:45);Czechoslovakia;1;1-1;1;Kuwait;25,000;Jose Zorrilla (Neutral Site);;;
Spain 82;First group stage;Thu;17/06/1982;21:00 (20:00);Yugoslavia;0;0-0;0;Northern Ireland;25,000;La Romareda (Neutral Site);;;
Spain 82;First group stage;Fri;18/06/1982;17:15 (16:15);Italy;1;1-1;1;Peru;25,000;Estadio Municipal de Balaï¿½dos (Neutral Site);;;
Spain 82;First group stage;Fri;18/06/1982;21:00 (20:00);Brazil;4;4-1;1;Scotland;47,379;Benito Villamarin (Neutral Site);;;
Spain 82;First group stage;Fri;18/06/1982;21:00 (20:00);Argentina;4;4-1;1;Hungary;32,093;Jose Rico Perez (Neutral Site);;;
Spain 82;First group stage;Sat;19/06/1982;19:15 (18:15);Poland;0;0-0;0;Cameroon;19,000;Riazor (Neutral Site);;;
Spain 82;First group stage;Sat;19/06/1982;21:00 (20:00);Union;3;3-0;0;New Zealand;19,000;La Rosaleda (Neutral Site);;;
Spain 82;First group stage;Sat;19/06/1982;21:00 (20:00);Belgium;1;1-0;0;El Salvador;15,000;Nuevo Estadio (Neutral Site);;;
Spain 82;First group stage;Sun;20/06/1982;17:15 (16:15);England;2;2-0;0;Czechoslovakia;41,123;San Mames (Neutral Site);;;
Spain 82;First group stage;Sun;20/06/1982;17:15 (16:15);Germany;4;4-1;1;Chile;42,000;El Molinon (Neutral Site);;;
Spain 82;First group stage;Sun;20/06/1982;21:00 (20:00);Spain;2;2-1;1;Yugoslavia;48,000;Luis Casanova (Neutral Site);;;
Spain 82;First group stage;Mon;21/06/1982;17:15 (16:15);France;4;4-1;1;Kuwait;30,043;Jose Zorrilla (Neutral Site);;;
Spain 82;First group stage;Mon;21/06/1982;17:15 (16:15);Algeria;0;0-2;2;Austria;22,000;Carlos Tartiere (Neutral Site);;;
Spain 82;First group stage;Mon;21/06/1982;21:00 (20:00);Honduras;1;1-1;1;Northern Ireland;15,000;La Romareda (Neutral Site);;;
Spain 82;First group stage;Tue;22/06/1982;17:15 (16:15);Poland;5;5-1;1;Peru;25,000;Riazor (Neutral Site);;;
Spain 82;First group stage;Tue;22/06/1982;21:00 (20:00);Union;2;2-2;2;Scotland;45,000;La Rosaleda (Neutral Site);;;
Spain 82;First group stage;Tue;22/06/1982;21:00 (20:00);Belgium;1;1-1;1;Hungary;37,000;Nuevo Estadio (Neutral Site);;;
Spain 82;First group stage;Wed;23/06/1982;17:15 (16:15);Italy;1;1-1;1;Cameroon;20,000;Estadio Municipal de Balaï¿½dos (Neutral Site);;;
Spain 82;First group stage;Wed;23/06/1982;21:00 (20:00);Brazil;4;4-0;0;New Zealand;43,000;Benito Villamarin (Neutral Site);;;
Spain 82;First group stage;Wed;23/06/1982;21:00 (20:00);Argentina;2;2-0;0;El Salvador;32,500;Jose Rico Perez (Neutral Site);;;
Spain 82;First group stage;Thu;24/06/1982;17:15 (16:15);France;1;1-1;1;Czechoslovakia;28,000;Jose Zorrilla (Neutral Site);;;
Spain 82;First group stage;Thu;24/06/1982;17:15 (16:15);Algeria;3;3-2;2;Chile;16,000;Carlos Tartiere (Neutral Site);;;
Spain 82;First group stage;Thu;24/06/1982;21:00 (20:00);Honduras;0;0-1;1;Yugoslavia;25,000;La Romareda (Neutral Site);;;
Spain 82;First group stage;Fri;25/06/1982;17:15 (16:15);Germany;1;1-0;0;Austria;41,000;El Molinon (Neutral Site);;;
Spain 82;First group stage;Fri;25/06/1982;17:15 (16:15);England;1;1-0;0;Kuwait;39,700;San Mames (Neutral Site);;;
Spain 82;First group stage;Fri;25/06/1982;21:00 (20:00);Ireland;1;1-0;0;Spain;49,562;Luis Casanova (Neutral Site);;;
Spain 82;Second group stage;Mon;28/06/1982;17:15 (16:15);Austria;0;0-1;1;France;37,000;Vicente Calderon (Neutral Site);;;
Spain 82;Second group stage;Mon;28/06/1982;21:00 (20:00);Poland;3;3-0;0;Belgium;65,000;Camp Nou (Neutral Site);;;
Spain 82;Second group stage;Tue;29/06/1982;17:15 (16:15);Italy;2;2-1;1;Argentina;43,000;Sarria (Neutral Site);;;
Spain 82;Second group stage;Tue;29/06/1982;21:00 (20:00);Germany;0;0-0;0;England;75,000;Santiago Bernabeu (Neutral Site);;;
Spain 82;Second group stage;Thu;01/07/1982;17:15 (16:15);Austria;2;2-2;2;Northern Ireland;20,000;Vicente Calderon (Neutral Site);;;
Spain 82;Second group stage;Thu;01/07/1982;21:00 (20:00);Belgium;0;0-1;1;Soviet Union;45,000;Camp Nou (Neutral Site);;;
Spain 82;Second group stage;Fri;02/07/1982;17:15 (16:15);Argentina;1;1-3;3;Brazil;44,000;Sarria (Neutral Site);;;
Spain 82;Second group stage;Fri;02/07/1982;21:00 (20:00);Germany;2;2-1;1;Spain;90,089;Santiago Bernabeu (Neutral Site);;;
Spain 82;Second group stage;Sun;04/07/1982;17:15 (16:15);France;4;4-1;1;Northern Ireland;37,000;Vicente Calderon (Neutral Site);;;
Spain 82;Second group stage;Sun;04/07/1982;21:00 (20:00);Poland;0;0-0;0;Soviet Union;65,000;Camp Nou (Neutral Site);;;
Spain 82;Second group stage;Mon;05/07/1982;17:15 (16:15);Italy;3;3-2;2;Brazil;44,000;Sarria (Neutral Site);;;
Spain 82;Second group stage;Mon;05/07/1982;21:00 (20:00);Spain;0;0-0;0;England;75,000;Santiago Bernabeu (Neutral Site);;;
Spain 82;Semi-finals;Thu;08/07/1982;17:15 (16:15);Poland;0;0-2;2;Italy;50,000;Camp Nou (Neutral Site);;;
Spain 82;Semi-finals;Thu;08/07/1982;21:00 (20:00);Germany;3;3-3;3;France;70,000;Ramon Sanchez Pizjuan (Neutral Site);Yes;Yes;West Germany won on penalty kicks following extra time
Spain 82;Third-place match;Sat;10/07/1982;20:00 (19:00);Poland;3;3-2;2;France;28,000;Jose Rico Perez (Neutral Site);;;
Spain 82;Final;Sun;11/07/1982;20:00 (19:00);Italy;3;3-1;1;West Germany;90,000;Santiago Bernabeu (Neutral Site);;;
Argentina 78;First round;Thu;01/06/1978;15:00 (19:00);Germany;0;0-0;0;Poland;67,579;El Monumental - Estadio Monumental Anton... (Neutral Site);;;
Argentina 78;First round;Fri;02/06/1978;13:45 (17:45);Italy;2;2-1;1;France;42,373;Estadio Josï¿½ Marï¿½a Minella (Neutral Site);;;
Argentina 78;First round;Fri;02/06/1978;16:45 (20:45);Tunisia;3;3-1;1;Mexico;17,396;Arroyito - Estadio Dr. Lisandro de la To... (Neutral Site);;;
Argentina 78;First round;Fri;02/06/1978;19:15 (23:15);Argentina;2;2-1;1;Hungary;71,615;El Monumental - Estadio Monumental Anton... (Neutral Site);;;
Argentina 78;First round;Sat;03/06/1978;13:45 (17:45);Sweden;1;1-1;1;Brazil;32,569;Estadio Josï¿½ Marï¿½a Minella (Neutral Site);;;
Argentina 78;First round;Sat;03/06/1978;13:45 (17:45);Austria;2;2-1;1;Spain;40,841;Jose Amalfitani (Neutral Site);;;
Argentina 78;First round;Sat;03/06/1978;16:45 (20:45);Peru;3;3-1;1;Scotland;37,927;Estadio Olï¿½mpico Chateau Carreras (Neutral Site);;;
Argentina 78;First round;Sat;03/06/1978;16:45 (20:45);Netherlands;3;3-0;0;IR Iran;33,431;San Martin (Neutral Site);;;
Argentina 78;First round;Tue;06/06/1978;13:45 (17:45);Italy;3;3-1;1;Hungary;26,533;Estadio Josï¿½ Marï¿½a Minella (Neutral Site);;;
Argentina 78;First round;Tue;06/06/1978;16:45 (20:45);Germany;6;6-0;0;Mexico;35,258;Estadio Olï¿½mpico Chateau Carreras (Neutral Site);;;
Argentina 78;First round;Tue;06/06/1978;16:45 (20:45);Poland;1;1-0;0;Tunisia;9,624;Arroyito - Estadio Dr. Lisandro de la To... (Neutral Site);;;
Argentina 78;First round;Tue;06/06/1978;19:15 (23:15);Argentina;2;2-1;1;France;71,666;El Monumental - Estadio Monumental Anton... (Neutral Site);;;
Argentina 78;First round;Wed;07/06/1978;13:45 (17:45);Brazil;0;0-0;0;Spain;34,771;Estadio Josï¿½ Marï¿½a Minella (Neutral Site);;;
Argentina 78;First round;Wed;07/06/1978;13:45 (17:45);Austria;1;1-0;0;Sweden;41,424;Jose Amalfitani (Neutral Site);;;
Argentina 78;First round;Wed;07/06/1978;16:45 (20:45);Scotland;1;1-1;1;IR Iran;7,938;Estadio Olï¿½mpico Chateau Carreras (Neutral Site);;;
Argentina 78;First round;Wed;07/06/1978;16:45 (20:45);Netherlands;0;0-0;0;Peru;28,125;San Martin (Neutral Site);;;
Argentina 78;First round;Sat;10/06/1978;15:10 (19:10);France;3;3-1;1;Hungary;23,127;Estadio Josï¿½ Marï¿½a Minella (Neutral Site);;;
